iter	Passed	Remaining
0	136	136225
1	136	68331
2	137	45673
3	137	34346
4	138	27546
5	138	23005
6	139	19762
7	139	17328
8	140	15435
9	140	13920
10	141	12681
11	141	11648
12	141	10777
13	142	10028
14	142	9379
15	143	8814
16	143	8315
17	144	7870
18	144	7471
19	145	7111
20	145	6793
21	146	6498
22	146	6228
23	147	5980
24	147	5752
25	147	5541
26	148	5346
27	148	5164
28	149	4995
29	149	4839
30	150	4695
31	150	4558
32	151	4428
33	151	4306
34	151	4190
35	152	4081
36	152	3978
37	153	3880
38	153	3787
39	154	3698
40	154	3614
41	154	3534
42	155	3458
43	155	3387
44	156	3318
45	156	3252
46	157	3189
47	157	3129
48	158	3070
49	159	3021
50	159	2973
51	160	2921
52	160	2870
53	161	2822
54	161	2775
55	162	2732
56	162	2690
57	163	2648
58	163	2607
59	163	2568
60	164	2529
61	164	2492
62	165	2456
63	165	2422
64	166	2388
65	166	2356
66	166	2324
67	167	2293
68	167	2264
69	168	2235
70	168	2207
71	169	2180
72	169	2154
73	170	2128
74	170	2102
75	170	2078
76	171	2054
77	171	2030
78	172	2007
79	172	1985
80	173	1964
81	173	1945
82	174	1926
83	174	1908
84	175	1890
85	176	1871
86	176	1852
87	176	1834
88	177	1815
89	177	1797
90	178	1779
91	178	1762
92	178	1745
93	179	1729
94	179	1713
95	180	1697
96	180	1682
97	181	1668
98	181	1654
99	182	1640
100	182	1626
101	183	1613
102	183	1600
103	184	1586
104	184	1573
105	185	1560
106	185	1547
107	185	1535
108	186	1524
109	186	1512
110	187	1501
111	187	1489
112	188	1478
113	188	1467
114	189	1456
115	189	1446
116	190	1435
117	190	1424
118	191	1414
119	191	1403
120	191	1393
121	192	1386
122	193	1377
123	193	1368
124	194	1359
125	194	1352
126	195	1343
127	195	1334
128	196	1325
129	196	1316
130	197	1308
131	197	1299
132	198	1291
133	198	1282
134	198	1274
135	199	1267
136	199	1259
137	200	1252
138	201	1245
139	201	1238
140	202	1230
141	202	1223
142	202	1216
143	203	1209
144	203	1202
145	204	1195
146	204	1188
147	205	1181
148	205	1175
149	206	1169
150	206	1162
151	207	1155
152	207	1149
153	208	1143
154	208	1137
155	209	1131
156	209	1125
157	210	1119
158	210	1113
159	210	1107
160	211	1103
161	212	1097
162	212	1091
163	213	1086
164	213	1080
165	214	1075
166	214	1070
167	215	1065
168	215	1060
169	216	1054
170	216	1049
171	217	1044
172	217	1040
173	218	1035
174	218	1030
175	219	1025
176	219	1021
177	220	1016
178	220	1011
179	221	1006
180	221	1002
181	221	997
182	222	992
183	222	988
184	223	984
185	223	979
186	224	975
187	224	971
188	225	966
189	225	962
190	226	958
191	226	954
192	227	950
193	227	946
194	228	942
195	228	938
196	229	934
197	229	930
198	230	926
199	230	923
200	231	920
201	232	916
202	232	912
203	233	909
204	233	905
205	233	901
206	234	898
207	234	894
208	235	890
209	235	887
210	236	884
211	236	880
212	237	877
213	238	874
214	238	870
215	238	867
216	239	863
217	239	860
218	240	857
219	240	853
220	241	850
221	241	847
222	242	844
223	242	841
224	243	838
225	243	835
226	244	831
227	244	828
228	245	825
229	245	822
230	246	819
231	246	816
232	247	813
233	247	810
234	248	807
235	248	804
236	249	801
237	249	798
238	249	795
239	250	793
240	250	790
241	251	787
242	251	784
243	252	781
244	252	779
245	253	776
246	253	773
247	254	771
